customer_id,date,customer_gender,customer_age,customer_location,customer_type,has_cc,has_mortgage,convenience,customer_service,online_banking,interest_rates,fees_charges,community_involvement,products_services,privacy_security,reputation,satisfied,comments
216604,2022-08-22,Male,50.0,Munster,Personal,True,False,4.0,5.0,4.0,4.0,4.0,4.0,5.0,2.0,4.0,True,Overal  this bank is satisfactory.
259276,2022-11-23,Female,61.0,Leinster,Personal,True,False,5.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0,True,Easy to find zhe bank ' s branches and ATMs. All in oll I'v ' m happy with the service provided
318031,2022-08-08,Female,41.0,Leinster,Personal,True,True,1.0,1.0,1.0,1.0,2.0,2.0,4.0,5.0,2.0,False,
145660,2022-10-21,Female,46.0,Munster,Business,False,False,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,True,
219361,2021-09-25,Male,65.0,Leinster,Personal,True,False,5.0,4.0,1.0,4.0,4.0,4.0,5.0,4.0,2.0,True,i guess that my bank is committed to sustainability and reduces its carbon emission. the fees are too high. Everything is pretty good.
304040,2021-02-02,Female,69.0,Connacht,Personal,True,True,4.0,4.0,4.0,1.0,2.0,1.0,2.0,4.0,2.0,False,Its time für your bank to make meaningful changes and contribuite to a greener future. The banks online banking portal needs improvement. Not good enough et all!!
312976,2021-06-21,Female,50.0,Munster,Business,True,False,4.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,True,It' ' s important ho me that my bank is [[commited to making a positive impact in the community. Reasonably good option for banking
15145,2021-04-19,Male,54.0,Leinster,Business,True,False,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,True,
116340,2021-11-03,Female,32.0,Leinster,Personal,False,True,1.0,2.0,1.0,4.0,3.0,1.0,2.0,2.0,3.0,False,you needs to contribuite more to our locality. ..
313002,2022-08-15,Female,43.0,Ulster,Business,False,False,3.0,3.0,2.0,1.0,1.0,2.0,3.0,4.0,1.0,False,
197632,2021-02-22,Female,54.0,Munster,Business,True,False,4.0,3.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,True,Bank's fees seem reasonable to me
364402,2021-05-18,Male,42.0,Munster,Business,True,False,1.0,2.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,False,Need to broaden your range of financial products? Your mobile app doesn't work. My dissatisfaction with the bank is so great that I wouldn't recommend it...
304819,2022-01-24,Female,55.0,Leinster,Personal,True,True,2.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,False,You need to prioritise datas privacy for your custommers. ...
26,2022-03-12,Female,42.0,Leinster,Business,True,False,2.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,2.0,True,Overall  I would say things are good
368574,2021-04-24,Male,32.0,Leinster,Personal,True,False,1.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,False,
351643,2022-11-13,Male,29.0,Leinster,Personal,True,False,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,True,Good secure mobile app. Very good  woulf recommend the a friend
180138,2021-03-28,Unspecified,53.0,Connacht,Business-Plus,True,True,4.0,4.0,1.0,4.0,3.0,3.0,1.0,2.0,3.0,True,
110386,2021-03-06,Male,29.0,Leinster,Business,True,False,3.0,1.0,4.0,5.0,5.0,3.0,4.0,1.0,5.0,True,The savings rates offered by the bank all among the best in the martket. ...
82997,2021-10-25,Male,41.0,Leinster,Business,False,False,3.0,4.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,False,I'm seriously considering switching to another bank.
142069,2022-04-04,Male,24.0,Leinster,Personal,True,True,2.0,2.0,1.0,4.0,5.0,4.0,5.0,4.0,5.0,False,The banks environmental footprint needs to be addressed. Really poor overall. Think ill switch bank soon
219799,2021-05-21,Female,67.0,Leinster,Personal,True,True,2.0,2.0,2.0,4.0,2.0,3.0,2.0,5.0,2.0,False,Not many financial producer for people like me
117503,2021-07-17,Male,57.0,Leinster,Business,True,False,2.0,1.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,True,Bank is decent overall
291572,2021-10-22,Female,54.0,Leinster,Business,True,False,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,5.0,True,Glad that you take online banking security seriously; This bank charges reasonable fees for its services; I'm satisfied with my bank
164681,2021-06-26,Male,54.0,Leinster,Personal,False,False,2.0,3.0,2.0,2.0,2.0,1.0,4.0,4.0,2.0,False,The banks online banking is inadequate. Your poor service is marking meet switch bank.
217108,2022-09-26,Female,34.0,Munster,Business,True,False,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,False,As a financial instrution  yoir bank has a duty to think about the environment. Just unacceptable really.
232282,2022-06-29,Male,78.0,Munster,Personal,True,True,2.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,5.0,False,Not happy that you've closed so many of your branches. This bank's performance is unacceptable
