customer_id,comments
216604,Overal  this bank is satisfactory.
259276,Easy to find zhe bank ' s branches and ATMs. All in oll I'v ' m happy with the service provided
265459,Bank's phone app is really great. In general a good option for banking.
58770,
318031,
241092,
380865,Seriously considerin switching to a rival bank..
145660,
219361,i guess that my bank is committed to sustainability and reduces its carbon emission. the fees are too high. Everything is pretty good.
304040,Its time für your bank to make meaningful changes and contribuite to a greener future. The banks online banking portal needs improvement. Not good enough et all!!
314559,Banks webside is qute user friendly * Fairly good choice for banking
932,bank branches are really easy to find * in general a good option for banking
299011,monthly fees charged by this bank are reasonable
312976,It' ' s important ho me that my bank is [[commited to making a positive impact in the community. Reasonably good option for banking
170205,
15145,
293568,Not mant financial products for people like me
375721,[None]
116340,you needs to contribuite more to our locality. ..
313002,
199490,I'm thoroughly pleased with the banking services  and I'm a happy customer overall
175580,Good customer service. Overall things are good but there's room for improvement...
247357,Bank has a limited range of services. Might close my account..
197632,Bank's fees seem reasonable to me
32199,This bank offers excellent customer service. Overall I'm fairly happy with the service
143469,This bank offers a variety of useful financial products | Overall  my bank was a good choice
364402,Need to broaden your range of financial products? Your mobile app doesn't work. My dissatisfaction with the bank is so great that I wouldn't recommend it...
304819,You need to prioritise datas privacy for your custommers. ...
26,Overall  I would say things are good
124414,Easy to find a branch. In general this bank is acceptable.
368574,
43714,I appreciate that my bank is involved in community outreach programs. This bank's mortgage rates are quite competitive
351643,Good secure mobile app. Very good  woulf recommend the a friend
47338,
366619,These bank charges are not transparent and I wish I hadn't opened an account with this bank.
180138,
105459,
198238,Such poor customer service. I think I will switch to a competitor.
167046,The phone app provided by the bank is very useful. Pretty fair option for banking transactions.
59094,
96862,Overall  pretty happy with my bank...
334475,nothing to say
110386,The savings rates offered by the bank all among the best in the martket. ...
82997,I'm seriously considering switching to another bank.
142069,The banks environmental footprint needs to be addressed. Really poor overall. Think ill switch bank soon
8890,Overwall you ' re doing okay
219799,Not many financial producer for people like me
287302,I've been disappointed with the service provided by this bank and am considering taking my business elsewhere.
117503,Bank is decent overall
350399,Data privacy is taken seriously. Decent stuf overall
83205,
385229,
49242,
291572,Glad that you take online banking security seriously; This bank charges reasonable fees for its services; I'm satisfied with my bank
267073,This bank's ATM network is good. Generally speaking  everything is fine
164681,The banks online banking is inadequate. Your poor service is marking meet switch bank.
127777,The banke needs to take steps to address customers ' concerns about data privacy. y ' m seriously considere switching to another bank
217108,As a financial instrution  yoir bank has a duty to think about the environment. Just unacceptable really.
232282,Not happy that you've closed so many of your branches. This bank's performance is unacceptable
38118,Mobile app is really good
340384,Stop increasing your mortagage rates! ; Really poor overall; Think ye ' ll switch bank soon
166320,banking fees are too high. i had such a negative experience that i would not suggest this service to anyone:
203959,You need to take data privacy more seriously;
36490,Good range of financial services provided x this pank. Happy enough with my bank
174005,
369049,
88692,No comment
265179,This bank's ATM network is good. I'm satisfied with my bank.
18245,Overall  their banking services have been excellent and I am pleased with them...
296408,
368309,The range of mortgage products offered by this bank is impressive
279320,
84570,The savings rates provided by this bank are impressive and  in general
37480,
134902,
381255,I am frustrated with your excessive bank charges. What I have experienced is simply not acceptable...
150408,pretti good
161012,My account ' s changes are not too expensive. Overoll I ' m fairly happy with the service
175178,The bank's mobile app is really fantastic. You're doing ok
208620,
