customer_id,date,customer_gender,customer_age,customer_location,customer_type,has_cc,has_mortgage,convenience,customer_service,online_banking,interest_rates,fees_charges,community_involvement,products_services,privacy_security,reputation,satisfied
216604,2022-08-22,Male,50.0,Munster,Personal,True,False,4.0,5.0,4.0,4.0,4.0,4.0,5.0,2.0,4.0,True
259276,2022-11-23,Female,61.0,Leinster,Personal,True,False,5.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0,True
318031,2022-08-08,Female,41.0,Leinster,Personal,True,True,1.0,1.0,1.0,1.0,2.0,2.0,4.0,5.0,2.0,False
145660,2022-10-21,Female,46.0,Munster,Business,False,False,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,True
219361,2021-09-25,Male,65.0,Leinster,Personal,True,False,5.0,4.0,1.0,4.0,4.0,4.0,5.0,4.0,2.0,True
304040,2021-02-02,Female,69.0,Connacht,Personal,True,True,4.0,4.0,4.0,1.0,2.0,1.0,2.0,4.0,2.0,False
312976,2021-06-21,Female,50.0,Munster,Business,True,False,4.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,True
15145,2021-04-19,Male,54.0,Leinster,Business,True,False,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,True
116340,2021-11-03,Female,32.0,Leinster,Personal,False,True,1.0,2.0,1.0,4.0,3.0,1.0,2.0,2.0,3.0,False
313002,2022-08-15,Female,43.0,Ulster,Business,False,False,3.0,3.0,2.0,1.0,1.0,2.0,3.0,4.0,1.0,False
197632,2021-02-22,Female,54.0,Munster,Business,True,False,4.0,3.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,True
364402,2021-05-18,Male,42.0,Munster,Business,True,False,1.0,2.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,False
304819,2022-01-24,Female,55.0,Leinster,Personal,True,True,2.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,False
26,2022-03-12,Female,42.0,Leinster,Business,True,False,2.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,2.0,True
368574,2021-04-24,Male,32.0,Leinster,Personal,True,False,1.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,False
351643,2022-11-13,Male,29.0,Leinster,Personal,True,False,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,True
180138,2021-03-28,Unspecified,53.0,Connacht,Business-Plus,True,True,4.0,4.0,1.0,4.0,3.0,3.0,1.0,2.0,3.0,True
110386,2021-03-06,Male,29.0,Leinster,Business,True,False,3.0,1.0,4.0,5.0,5.0,3.0,4.0,1.0,5.0,True
82997,2021-10-25,Male,41.0,Leinster,Business,False,False,3.0,4.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,False
142069,2022-04-04,Male,24.0,Leinster,Personal,True,True,2.0,2.0,1.0,4.0,5.0,4.0,5.0,4.0,5.0,False
219799,2021-05-21,Female,67.0,Leinster,Personal,True,True,2.0,2.0,2.0,4.0,2.0,3.0,2.0,5.0,2.0,False
117503,2021-07-17,Male,57.0,Leinster,Business,True,False,2.0,1.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,True
291572,2021-10-22,Female,54.0,Leinster,Business,True,False,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,5.0,True
164681,2021-06-26,Male,54.0,Leinster,Personal,False,False,2.0,3.0,2.0,2.0,2.0,1.0,4.0,4.0,2.0,False
217108,2022-09-26,Female,34.0,Munster,Business,True,False,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,False
232282,2022-06-29,Male,78.0,Munster,Personal,True,True,2.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,5.0,False
38118,2021-09-06,Female,31.0,Leinster,Business,True,False,1.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,True
340384,2022-04-17,Male,52.0,Connacht,Business,True,False,3.0,3.0,3.0,2.0,2.0,3.0,4.0,5.0,3.0,False
166320,2021-04-05,Female,45.0,Leinster,Personal,True,True,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,False
174005,2021-12-11,Male,53.0,Connacht,Business,True,False,2.0,2.0,5.0,3.0,4.0,4.0,4.0,4.0,1.0,True
369049,2022-12-02,Female,51.0,Leinster,Business,True,True,2.0,2.0,2.0,1.0,2.0,4.0,3.0,1.0,2.0,False
368309,2021-08-09,Male,39.0,Leinster,Business-Plus,True,False,4.0,4.0,2.0,4.0,4.0,1.0,2.0,3.0,4.0,True
279320,2021-11-27,Male,75.0,Munster,Personal,False,True,3.0,2.0,4.0,4.0,1.0,1.0,4.0,1.0,3.0,True
84570,2022-12-17,Male,61.0,Leinster,Business,True,False,3.0,3.0,4.0,5.0,4.0,4.0,2.0,2.0,4.0,True
175178,2021-02-01,Male,44.0,Munster,Business,False,False,2.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,2.0,True
